STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,INJURIES_DIRECT,INJURIES_INDIRECT,total injuries,DEATHS_DIRECT,DEATHS_INDIRECT,total deaths,DAMAGE_PROPERTY,DAMAGE_CROPS,DAMAGE_PROPERTY_FIXED,DAMAGE_CROPS_FIXED,DAMAGE_SUM,OUR_METRIC
SOUTH CAROLINA,September,Flash Flood,LANCASTER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
SOUTH CAROLINA,November,Flash Flood,RICHLAND,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,May,Flood,RENO,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,May,Flood,LINCOLN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,BARTON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,ELLSWORTH,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,RICE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,KINGMAN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,RICE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,RICE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,HARVEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,MCPHERSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,MCPHERSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,BUTLER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,WILSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,WILSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
GEORGIA,May,Flood,BURKE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,ELLSWORTH,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,RENO,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,September,Flood,BUTLER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,RICE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,ALLEN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,CHAUTAUQUA,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,CHAUTAUQUA,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,ALLEN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,KINGMAN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,NEOSHO,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,HARPER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,MCPHERSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,RICE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,MCPHERSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,RUSSELL,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,ELLSWORTH,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,HARVEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SUMNER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,MARION,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,MCPHERSON,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,COWLEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,BUTLER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,HARVEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,HARVEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,COWLEY,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,CHASE,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,CHAUTAUQUA,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,ALLEN,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,BUTLER,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,ELLSWORTH,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
KANSAS,October,Flood,SEDGWICK,0,0,0,0,0,0,0.10K,0.10K,100,100,200,1.33333E-05
FLORIDA,April,Tornado,MONROE,0,0,0,0,0,0,0.20K,0.00K,200,0,200,1.33333E-05
FLORIDA,May,Tornado,MARTIN,0,0,0,0,0,0,0.20K,0.00K,200,0,200,1.33333E-05
OREGON,October,Tornado,MARION,0,0,0,0,0,0,0.20K,0.00K,200,0,200,1.33333E-05
IOWA,June,Tornado,CERRO GORDO,0,0,0,0,0,0,0.00K,0.20K,0,200,200,1.33333E-05
WASHINGTON,April,Flood,OKANOGAN,0,0,0,0,0,0,0.25K,0.00K,250,0,250,1.66667E-05
INDIANA,June,Flood,DECATUR,0,0,0,0,0,0,0.25K,0.00K,250,0,250,1.66667E-05
WASHINGTON,May,Flood,CHELAN,0,0,0,0,0,0,0.25K,0.00K,250,0,250,1.66667E-05
IDAHO,May,Flood,SHOSHONE,0,0,0,0,0,0,0.25K,0.00K,250,0,250,1.66667E-05
INDIANA,December,Flood,DECATUR,0,0,0,0,0,0,0.25K,0.00K,250,0,250,1.66667E-05
TEXAS,July,Tornado,WILLACY,0,0,0,0,0,0,0.00K,0.25K,0,250,250,1.66667E-05
WASHINGTON,May,Flood,OKANOGAN,0,0,0,0,0,0,0.26K,0.00K,260,0,260,1.73333E-05
KANSAS,October,Flood,HARVEY,0,0,0,0,0,0,0.20K,0.10K,200,100,300,0.00002
IDAHO,May,Tornado,BINGHAM,0,0,0,0,0,0,0.30K,0.00K,300,0,300,0.00002
MASSACHUSETTS,October,Tornado,BARNSTABLE,0,0,0,0,0,0,0.30K,0.00K,300,0,300,0.00002
INDIANA,September,Flash Flood,OWEN,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
INDIANA,September,Flash Flood,LAWRENCE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TENNESSEE,February,Flash Flood,LAUDERDALE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,September,Flash Flood,BUNCOMBE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,September,Flash Flood,DAVIE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,September,Flash Flood,MCDOWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,September,Flash Flood,HENDERSON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TEXAS,June,Flash Flood,ECTOR,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,September,Flash Flood,CARTER,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
INDIANA,September,Flash Flood,KNOX,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,May,Flash Flood,BUNCOMBE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,May,Flash Flood,JACKSON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
INDIANA,September,Flash Flood,MARTIN,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NEW YORK,August,Flash Flood,MONROE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NEW YORK,August,Flash Flood,MONROE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NEW YORK,August,Flash Flood,OSWEGO,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,September,Flash Flood,LEWIS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,August,Flash Flood,KANAWHA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,August,Flash Flood,KANAWHA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,August,Flash Flood,KANAWHA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,May,Flash Flood,MARION,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NEW YORK,August,Flash Flood,MONROE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,June,Flash Flood,JACKSON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
CALIFORNIA,July,Flash Flood,SAN BERNARDINO,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flash Flood,MCDOWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flash Flood,MCDOWELL,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TEXAS,October,Flash Flood,HOWARD,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flash Flood,DAVIE,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TEXAS,October,Flash Flood,WINKLER,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
TEXAS,October,Flash Flood,MIDLAND,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,October,Flash Flood,WILKES,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
WEST VIRGINIA,February,Flood,RANDOLPH,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
IDAHO,February,Flood,LATAH,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
INDIANA,February,Flood,CLINTON,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
NORTH CAROLINA,January,Flood,TRANSYLVANIA,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
OHIO,February,Flood,MEIGS,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
KENTUCKY,February,Flood,BOYD,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
FLORIDA,July,Flood,MARION,0,0,0,0,0,0,0.50K,0.00K,500,0,500,3.33333E-05
