STATE,MONTH_NAME,EVENT_TYPE,CZ_NAME,Severity
NORTH CAROLINA,September,Flash Flood,ROBESON,1
NORTH CAROLINA,September,Flash Flood,BLADEN,1
NORTH CAROLINA,September,Flash Flood,ROBESON,1
NORTH CAROLINA,September,Flash Flood,BLADEN,1
NORTH CAROLINA,September,Flash Flood,COLUMBUS,1
NORTH CAROLINA,September,Flash Flood,COLUMBUS,1
NORTH CAROLINA,September,Flash Flood,BLADEN,1
NORTH CAROLINA,September,Flash Flood,BLADEN,1
NORTH CAROLINA,November,Flash Flood,ORANGE,1
NORTH CAROLINA,September,Flood,MCDOWELL,1
NORTH CAROLINA,December,Flood,BUNCOMBE,1
NORTH CAROLINA,September,Tropical Storm,WASHINGTON,1
NORTH CAROLINA,September,Flood,UNION,1
NORTH CAROLINA,August,Flash Flood,ALAMANCE,1
NORTH CAROLINA,August,Flash Flood,ALAMANCE,1
NORTH CAROLINA,September,Flash Flood,SCOTLAND,2
NORTH CAROLINA,September,Flash Flood,ROBESON,2
NORTH CAROLINA,May,Flash Flood,RUTHERFORD,2
NORTH CAROLINA,May,Flash Flood,POLK,2
NORTH CAROLINA,August,Flash Flood,MCDOWELL,2
NORTH CAROLINA,September,Flash Flood,ROBESON,2
NORTH CAROLINA,September,Flash Flood,COLUMBUS,2
NORTH CAROLINA,September,Flash Flood,ROBESON,2
NORTH CAROLINA,September,Flash Flood,COLUMBUS,2
NORTH CAROLINA,September,Flash Flood,BLADEN,2
NORTH CAROLINA,October,Flash Flood,DAVIDSON,2
NORTH CAROLINA,May,Flood,RUTHERFORD,2
NORTH CAROLINA,September,Tropical Storm,ROBESON,2
NORTH CAROLINA,October,Tropical Storm,IREDELL,2
NORTH CAROLINA,October,Flash Flood,GRANVILLE,2
NORTH CAROLINA,October,Tropical Storm,SCOTLAND,2
NORTH CAROLINA,October,Tropical Storm,HOKE,2
NORTH CAROLINA,September,Tropical Storm,DURHAM,2
NORTH CAROLINA,September,Flash Flood,ROBESON,2
NORTH CAROLINA,August,Flash Flood,IREDELL,2
NORTH CAROLINA,September,Flash Flood,ROBESON,2
NORTH CAROLINA,September,Flash Flood,COLUMBUS,2
NORTH CAROLINA,September,Flash Flood,PENDER,2
NORTH CAROLINA,December,Tornado,NEW HANOVER,2
NORTH CAROLINA,September,Flood,JOHNSTON,2
NORTH CAROLINA,September,Flash Flood,COLUMBUS,2
NORTH CAROLINA,September,Tropical Storm,ROBESON,2
NORTH CAROLINA,May,Flash Flood,CALDWELL,2
NORTH CAROLINA,August,Flash Flood,MCDOWELL,2
NORTH CAROLINA,August,Flash Flood,CHATHAM,2
NORTH CAROLINA,August,Flash Flood,DURHAM,2
NORTH CAROLINA,August,Flash Flood,GUILFORD,2
NORTH CAROLINA,September,Flash Flood,BRUNSWICK,2
NORTH CAROLINA,October,Flash Flood,WAKE,2
NORTH CAROLINA,October,Flash Flood,PERSON,2
NORTH CAROLINA,September,Flood,ASHE,2
NORTH CAROLINA,September,Tornado,NEW HANOVER,2
NORTH CAROLINA,October,Tropical Storm,ANSON,2
NORTH CAROLINA,October,Tropical Storm,MONTGOMERY,2
NORTH CAROLINA,October,Tropical Storm,RICHMOND,2
NORTH CAROLINA,October,Tropical Storm,STANLY,2
NORTH CAROLINA,September,Flash Flood,UNION,2
NORTH CAROLINA,September,Tornado,WAYNE,2
NORTH CAROLINA,August,Flash Flood,WAKE,2
NORTH CAROLINA,May,Flash Flood,STOKES,2
NORTH CAROLINA,August,Flash Flood,ALAMANCE,2
NORTH CAROLINA,July,Flash Flood,SURRY,2
NORTH CAROLINA,September,Flash Flood,NEW HANOVER,2
NORTH CAROLINA,May,Flood,BUNCOMBE,2
NORTH CAROLINA,April,Tornado,CASWELL,2
NORTH CAROLINA,October,Tropical Storm,JOHNSTON,2
NORTH CAROLINA,October,Tropical Storm,LEE,2
NORTH CAROLINA,October,Tropical Storm,MOORE,2
NORTH CAROLINA,October,Tropical Storm,HARNETT,2
NORTH CAROLINA,October,Tropical Storm,CUMBERLAND,2
NORTH CAROLINA,September,Flash Flood,PENDER,2
NORTH CAROLINA,September,Flash Flood,BLADEN,2
NORTH CAROLINA,April,Tornado,WAKE,2
NORTH CAROLINA,September,Tornado,NEW HANOVER,2
NORTH CAROLINA,September,Tornado,PENDER,2
NORTH CAROLINA,August,Flash Flood,ROCKINGHAM,2
NORTH CAROLINA,September,Flash Flood,BRUNSWICK,2
NORTH CAROLINA,September,Hurricane,INLAND BRUNSWICK,2
NORTH CAROLINA,September,Tornado,PENDER,2
NORTH CAROLINA,September,Tropical Storm,GREENE,2
NORTH CAROLINA,October,Tropical Storm,DURHAM,2
NORTH CAROLINA,October,Tropical Storm,WAKE,2
NORTH CAROLINA,September,Flash Flood,NEW HANOVER,2
NORTH CAROLINA,October,Flash Flood,FORSYTH,2
NORTH CAROLINA,September,Tornado,SAMPSON,2
NORTH CAROLINA,September,Tornado,COLUMBUS,2
NORTH CAROLINA,October,Tropical Storm,EDGECOMBE,2
NORTH CAROLINA,October,Tropical Storm,FRANKLIN,2
NORTH CAROLINA,October,Tropical Storm,WARREN,2
NORTH CAROLINA,October,Tropical Storm,HALIFAX,2
NORTH CAROLINA,October,Tropical Storm,WILSON,2
NORTH CAROLINA,October,Tropical Storm,NASH,2
NORTH CAROLINA,September,Flash Flood,BRUNSWICK,2
NORTH CAROLINA,September,Tornado,NEW HANOVER,2
NORTH CAROLINA,September,Tornado,WILSON,2
NORTH CAROLINA,May,Flash Flood,MCDOWELL,2
NORTH CAROLINA,July,Flash Flood,ROCKINGHAM,2
NORTH CAROLINA,October,Flash Flood,CASWELL,2
NORTH CAROLINA,October,Flash Flood,YADKIN,2
NORTH CAROLINA,October,Flash Flood,GUILFORD,2
NORTH CAROLINA,September,Tropical Storm,MONTGOMERY,2
NORTH CAROLINA,September,Tropical Storm,STANLY,2
NORTH CAROLINA,September,Tropical Storm,EDGECOMBE,2
NORTH CAROLINA,September,Tropical Storm,FRANKLIN,2
NORTH CAROLINA,September,Tropical Storm,NASH,2
NORTH CAROLINA,September,Tropical Storm,ANSON,2
NORTH CAROLINA,October,Tropical Storm,FORSYTH,2
NORTH CAROLINA,October,Tropical Storm,DAVIDSON,2
NORTH CAROLINA,October,Tropical Storm,RANDOLPH,2
NORTH CAROLINA,October,Tropical Storm,ORANGE,2
NORTH CAROLINA,October,Tropical Storm,CHATHAM,2
NORTH CAROLINA,October,Tropical Storm,ALAMANCE,2
NORTH CAROLINA,October,Tropical Storm,PERSON,2
NORTH CAROLINA,October,Tropical Storm,GRANVILLE,2
NORTH CAROLINA,October,Tropical Storm,VANCE,2
NORTH CAROLINA,May,Flash Flood,WAKE,2
NORTH CAROLINA,October,Flash Flood,SURRY,2
NORTH CAROLINA,September,Tropical Storm,LEE,2
NORTH CAROLINA,September,Tropical Storm,MOORE,2
NORTH CAROLINA,September,Tropical Storm,RICHMOND,2
NORTH CAROLINA,September,Tropical Storm,HARNETT,2
NORTH CAROLINA,September,Tropical Storm,SCOTLAND,2
NORTH CAROLINA,September,Tropical Storm,WAKE,2
NORTH CAROLINA,September,Tropical Storm,JOHNSTON,2
NORTH CAROLINA,September,Tropical Storm,HOKE,2
NORTH CAROLINA,September,Tropical Storm,WILSON,2
NORTH CAROLINA,September,Tropical Storm,CHATHAM,2
NORTH CAROLINA,September,Tropical Storm,WAYNE,2
NORTH CAROLINA,September,Tropical Storm,SAMPSON,2
NORTH CAROLINA,September,Tropical Storm,TYRRELL,2
NORTH CAROLINA,May,Flash Flood,WATAUGA,2
NORTH CAROLINA,October,Flash Flood,STOKES,2
NORTH CAROLINA,October,Tropical Storm,GUILFORD,2
NORTH CAROLINA,September,Tropical Storm,CUMBERLAND,2
NORTH CAROLINA,September,Flash Flood,NEW HANOVER,2
NORTH CAROLINA,October,Flash Flood,ROCKINGHAM,2
NORTH CAROLINA,April,Tornado,ROCKINGHAM,2
NORTH CAROLINA,September,Tropical Storm,BEAUFORT,2
NORTH CAROLINA,March,Coastal Flood,EASTERN DARE,2
NORTH CAROLINA,September,Flash Flood,PENDER,2
NORTH CAROLINA,September,Flood,ALAMANCE,2
NORTH CAROLINA,September,Flood,DAVIDSON,2
NORTH CAROLINA,September,Tropical Storm,WESTERN HYDE,2
NORTH CAROLINA,September,Flood,DURHAM,3
NORTH CAROLINA,September,Flood,GUILFORD,3
NORTH CAROLINA,September,Flash Flood,EDGECOMBE,3
NORTH CAROLINA,September,Flood,MONTGOMERY,3
NORTH CAROLINA,September,Flood,STANLY,3
NORTH CAROLINA,September,Flash Flood,WILSON,3
NORTH CAROLINA,September,Flood,WAKE,3
NORTH CAROLINA,September,Flood,LEE,3
NORTH CAROLINA,September,Flood,CHATHAM,3
NORTH CAROLINA,September,Flood,HARNETT,3
NORTH CAROLINA,September,Hurricane,CRAVEN,3
NORTH CAROLINA,September,Flood,MOORE,3
NORTH CAROLINA,September,Tropical Storm,PAMLICO,3
NORTH CAROLINA,September,Flood,HOKE,3
NORTH CAROLINA,September,Flood,RANDOLPH,3
NORTH CAROLINA,September,Flood,ORANGE,3
NORTH CAROLINA,September,Tropical Storm,JONES,3
NORTH CAROLINA,September,Hurricane,ONSLOW,3
NORTH CAROLINA,September,Flood,SCOTLAND,3
NORTH CAROLINA,September,Flood,ANSON,3
NORTH CAROLINA,September,Flood,SAMPSON,3
NORTH CAROLINA,September,Tropical Storm,LENOIR,3
NORTH CAROLINA,September,Flood,WAYNE,3
NORTH CAROLINA,September,Flood,RICHMOND,3
NORTH CAROLINA,April,Tornado,GUILFORD,3
NORTH CAROLINA,September,Flood,CUMBERLAND,3
NORTH CAROLINA,September,Tropical Storm,DUPLIN,4
NORTH CAROLINA,September,Hurricane,CARTERET,4
NORTH CAROLINA,September,Hurricane,INLAND PENDER,5
NORTH CAROLINA,September,Hurricane,INLAND NEW HANOVER,9
